Time,Measurements,Kalman
0, 13.3636, 13.6182
0.2, 20.8064, 16.3137
0.4, 8.40415, 14.1566
0.6, 15.0991, 14.3585
0.8, 14.8771, 14.45
1, 13.1919, 14.2613
1.2, 16.2327, 14.5185
1.4, 15.1559, 14.592
1.6, 15.9799, 14.7356
1.8, 4.92065, 13.8154
2, 14.5768, 13.8807
2.2, 11.742, 13.7119
2.4, 11.855, 13.576
2.6, 13.715, 13.5855
2.8, 21.3251, 14.0795
3, 11.3406, 13.9151
3.2, 17.2126, 14.1018
3.4, 14.9814, 14.1489
3.6, 14.7747, 14.1807
3.8, 19.2165, 14.4244
4, 15.4441, 14.4715
4.2, 11.6322, 14.3462
4.4, 21.1257, 14.6327
4.6, 11.5919, 14.5094
4.8, 15.1008, 14.5324
5, 15.4967, 14.5686
5.2, 10.9477, 14.4377
5.4, 19.1449, 14.6019
5.6, 19.6662, 14.7726
5.8, 17.1241, 14.8493
6, 18.1703, 14.9542
6.2, 17.7135, 15.0386
6.4, 12.0411, 14.9496
6.6, 15.2364, 14.9579
6.8, 17.8418, 15.0387
7, 15.5777, 15.0534
7.2, 12.5325, 14.9865
7.4, 7.72487, 14.7987
7.6, 13.873, 14.7754
7.8, 20.7065, 14.9212
8, 11.2332, 14.8327
8.2, 10.7107, 14.7361
8.4, 10.2108, 14.6325
8.6, 12.6321, 14.5877
8.8, 18.2215, 14.6673
9, 14.2704, 14.6587
9.2, 14.4411, 14.6542
9.4, 18.079, 14.7246
9.6, 6.38354, 14.5566
9.8, 15.1217, 14.5678
10, 14.3837, 14.5642
