Time,Measurements,Position,Velocity
0, 34.255, 13.0983, 20.2116
0.02, 33.602, 19.9812, 20.5146
0.04, 33.602, 24.3209, 20.8586
0.06, 33.602, 27.2663, 21.2009
0.08, 33.602, 29.3412, 21.5099
0.1, 34.255, 31.011, 21.8088
0.12, 33.511, 32.0156, 21.9769
0.14, 33.42, 32.7206, 22.0699
0.16, 33.511, 33.2582, 22.1088
0.18, 34.255, 33.8534, 22.1788
0.2, 34.255, 34.2854, 22.1729
0.22, 33.879, 34.4932, 22.0409
0.24, 33.973, 34.6668, 21.8782
0.26, 34.734, 35.0011, 21.8104
0.28, 34.35, 35.1334, 21.5968
0.3, 34.35, 35.2249, 21.3423
0.32, 34.35, 35.2861, 21.0533
0.34, 34.066, 35.2452, 20.669
0.36, 34.35, 35.2893, 20.3472
0.38, 34.831, 35.4516, 20.1246
0.4, 34.929, 35.592, 19.8766
0.42, 33.879, 35.3903, 19.2889
0.44, 35.324, 35.6475, 19.1585
0.46, 36.555, 36.1801, 19.3147
0.48, 36.555, 36.5631, 19.3113
0.5, 36.661, 36.8669, 19.2202
0.52, 36.555, 37.0519, 18.9944
0.54, 36.345, 37.12, 18.6335
0.56, 36.45, 37.1932, 18.2793
0.58, 36.768, 37.3313, 18.0051
0.6, 37.307, 37.5807, 17.8692
0.62, 37.198, 37.7247, 17.6028
0.64, 37.417, 37.8863, 17.3613
0.66, 36.982, 37.8718, 16.896
0.68, 36.982, 37.8546, 16.4329
0.7, 36.875, 37.8044, 15.9327
0.72, 36.982, 37.7923, 15.4909
0.74, 36.982, 37.7772, 15.0521
0.76, 37.198, 37.8227, 14.7034
0.78, 37.417, 37.9135, 14.4235
0.8, 37.527, 38.0057, 14.1509
0.82, 37.749, 38.1317, 13.9309
0.84, 37.749, 38.2178, 13.6592
0.86, 38.086, 38.373, 13.4916
0.88, 38.199, 38.5135, 13.3065
0.9, 37.638, 38.4467, 12.8273
0.92, 38.659, 38.6903, 12.8086
0.94, 38.428, 38.7952, 12.5883
0.96, 38.659, 38.9337, 12.4226
0.98, 38.892, 39.0974, 12.2981
1, 38.775, 39.1772, 12.0529
1.02, 38.892, 39.2644, 11.8249
1.04, 39.009, 39.3571, 11.6109
1.06, 39.009, 39.4195, 11.3576
1.08, 39.486, 39.5997, 11.2871
1.1, 38.892, 39.5522, 10.8768
1.12, 39.128, 39.5819, 10.5937
