time,Phisaved,Thetasaved,Psisaved
0, 0.0237083, 0.0219106, 0.000706547
0.01, 0.0244393, 0.0329125, -0.00111457
0.02, 0.0418226, 0.0498527, -0.00207161
0.03, 0.0481698, 0.0505013, -0.00269036
0.04, 0.0644711, 0.0609369, -0.00235865
0.05, 0.0626384, 0.0669495, -0.00143741
0.06, 0.0675307, 0.0744984, 0.00123313
0.07, 0.0693532, 0.0804938, 0.00185768
0.08, 0.0788767, 0.0795408, 0.00124427
0.09, 0.0824471, 0.0808549, 0.000138167
0.1, 0.0859342, 0.0772056, 0.0019668
0.11, 0.0877659, 0.0790428, 0.00423728
0.12, 0.0917883, 0.0840528, 0.00379151
0.13, 0.102497, 0.0847242, 0.00600542
0.14, 0.107662, 0.0858644, 0.00734679
0.15, 0.108982, 0.0866726, 0.007504
0.16, 0.109415, 0.0869385, 0.00987373
0.17, 0.113779, 0.0887896, 0.0102256
0.18, 0.115996, 0.0894577, 0.0111956
0.19, 0.116405, 0.0898179, 0.0108261
0.2, 0.121536, 0.0966833, 0.0118055
0.21, 0.119719, 0.102762, 0.0143651
0.22, 0.122869, 0.105745, 0.0143757
0.23, 0.12211, 0.103832, 0.0143986
0.24, 0.124052, 0.103226, 0.014435
0.25, 0.124396, 0.106135, 0.0147507
0.26, 0.130157, 0.108984, 0.0153315
0.27, 0.132455, 0.108981, 0.0167983
0.28, 0.135986, 0.107353, 0.0179767
0.29, 0.135207, 0.109084, 0.0188661
0.3, 0.137631, 0.109978, 0.0167994
0.31, 0.139215, 0.112118, 0.0161347
0.32, 0.13719, 0.116483, 0.0187159
0.33, 0.139183, 0.116337, 0.0184675
0.34, 0.14014, 0.116469, 0.018503
0.35, 0.139894, 0.116485, 0.019709
0.36, 0.137574, 0.119587, 0.0227833
0.37, 0.140578, 0.121944, 0.0227578
0.38, 0.136021, 0.123983, 0.0212182
0.39, 0.137082, 0.124606, 0.0221419
0.4, 0.137649, 0.128177, 0.0229643
0.41, 0.140116, 0.12717, 0.0229716
0.42, 0.1441, 0.128282, 0.0229856
0.43, 0.144477, 0.130048, 0.0233662
0.44, 0.145528, 0.134737, 0.0234864
0.45, 0.146826, 0.135967, 0.0272014
0.46, 0.14437, 0.135781, 0.0275317
0.47, 0.145776, 0.138624, 0.0272391
0.48, 0.149661, 0.136022, 0.0264999
0.49, 0.151163, 0.136451, 0.023265
0.5, 0.155809, 0.13676, 0.0233351
0.51, 0.155333, 0.136943, 0.0234083
0.52, 0.156598, 0.139793, 0.0238473
0.53, 0.157156, 0.140545, 0.023477
0.54, 0.154429, 0.140125, 0.0247331
0.55, 0.156057, 0.141821, 0.0276033
0.56, 0.155622, 0.144669, 0.029087
0.57, 0.155859, 0.147247, 0.0293792
0.58, 0.154355, 0.149309, 0.0313873
0.59, 0.151871, 0.14816, 0.0328273
0.6, 0.15231, 0.148316, 0.0323611
0.61, 0.152735, 0.149658, 0.0319109
0.62, 0.15578, 0.151369, 0.0319263
0.63, 0.156869, 0.151738, 0.0323002
0.64, 0.159111, 0.153769, 0.0345749
0.65, 0.15893, 0.154098, 0.0360087
0.66, 0.157522, 0.154403, 0.0365287
0.67, 0.158128, 0.155948, 0.0367765
0.68, 0.159517, 0.153133, 0.0357548
0.69, 0.161428, 0.15402, 0.0354838
0.7, 0.16371, 0.15783, 0.0357713
0.71, 0.164223, 0.161048, 0.0385868
0.72, 0.165277, 0.16044, 0.0382917
0.73, 0.164284, 0.163073, 0.0380115
0.74, 0.164869, 0.161599, 0.0380055
0.75, 0.165247, 0.16199, 0.0380979
0.76, 0.164135, 0.163727, 0.0387413
0.77, 0.163524, 0.167182, 0.0384807
0.78, 0.164092, 0.166974, 0.0391239
0.79, 0.167629, 0.164706, 0.0408529
0.8, 0.169831, 0.16697, 0.0425714
0.81, 0.171863, 0.167666, 0.044814
0.82, 0.171767, 0.167241, 0.045137
0.83, 0.171699, 0.168487, 0.0443751
0.84, 0.17177, 0.169717, 0.0430877
0.85, 0.173701, 0.173471, 0.0430897
0.86, 0.174676, 0.173831, 0.0442637
0.87, 0.173741, 0.172535, 0.0440675
0.88, 0.171458, 0.174655, 0.0437943
0.89, 0.171558, 0.174622, 0.0468781
0.9, 0.170195, 0.174333, 0.046853
0.91, 0.168476, 0.176776, 0.0461154
0.92, 0.167647, 0.17616, 0.0472842
