time,PosSaved,VelSaved,AltSaved
0, 4.5, 1050.62, 90
0.05, 8.85399, 1033.74, 89.9855
0.1, 13.171, 1025.42, 89.9571
0.15, 17.4597, 1020.23, 89.9126
0.2, 21.7589, 1017.17, 89.8602
0.25, 26.0327, 1014.85, 89.7907
0.3, 30.3042, 1013.2, 89.7117
0.35, 34.5382, 1011.79, 89.6103
0.4, 38.7113, 1010.47, 89.4756
0.45, 42.9807, 1009.79, 89.3798
0.5, 47.1256, 1008.94, 89.2197
0.55, 51.3314, 1008.4, 89.0883
0.6, 55.3654, 1007.68, 88.8649
0.65, 59.2887, 1006.95, 88.5819
0.7, 63.5222, 1006.72, 88.4735
0.75, 67.7693, 1006.55, 88.3747
0.8, 71.7877, 1006.22, 88.149
0.85, 75.659, 1005.86, 87.846
0.9, 79.7671, 1005.7, 87.6854
0.95, 84.2773, 1005.76, 87.7563
1, 88.1598, 1005.55, 87.4737
1.05, 92.541, 1005.55, 87.4779
1.1, 95.9561, 1005.26, 86.9507
1.15, 98.1742, 1004.69, 85.7914
1.2, 102.916, 1004.8, 86.0354
1.25, 105.136, 1004.38, 84.9281
1.3, 108.436, 1004.22, 84.4308
1.35, 110.977, 1003.95, 83.559
1.4, 116.517, 1004.14, 84.2559
1.45, 120.973, 1004.17, 84.3783
1.5, 123.535, 1004.01, 83.5586
1.55, 126.471, 1003.9, 82.9532
1.6, 130.595, 1003.9, 82.9419
1.65, 132.82, 1003.77, 82.0347
1.7, 133.864, 1003.6, 80.6126
1.75, 138.768, 1003.65, 81.0132
1.8, 140.07, 1003.54, 79.7743
1.85, 144.822, 1003.56, 80.1134
1.9, 148.486, 1003.55, 79.9642
1.95, 152.851, 1003.56, 80.1218
2, 160.309, 1003.62, 81.5801
2.05, 161.817, 1003.59, 80.5138
2.1, 165.868, 1003.59, 80.524
2.15, 168.225, 1003.59, 79.8523
2.2, 172.336, 1003.59, 79.8992
2.25, 174.544, 1003.6, 79.2008
2.3, 178.362, 1003.6, 79.1461
2.35, 174.662, 1003.68, 76.2393
2.4, 182.732, 1003.64, 77.8395
2.45, 186.515, 1003.64, 77.7993
2.5, 196.155, 1003.54, 79.8931
2.55, 209.126, 1003.35, 83.1055
2.6, 220.938, 1003.15, 85.7962
2.65, 231.872, 1002.95, 88.0924
2.7, 242.889, 1002.74, 90.3429
2.75, 241.352, 1002.95, 88.3127
2.8, 254.945, 1002.63, 91.3618
2.85, 262.656, 1002.51, 92.3899
2.9, 266.738, 1002.53, 92.2161
2.95, 269.539, 1002.6, 91.6376
3, 280.715, 1002.33, 93.7263
