time,Position,Velocity,Altitude
0, 4.5, 90, 1156.1
0.05, 9.14725, 90, 1193.95
0.1, 13.8807, 90, 1224.43
0.15, 18.711, 90, 1253.57
0.2, 23.5787, 90, 1278.21
0.25, 28.5388, 90, 1303.15
0.3, 33.5279, 90, 1325.49
0.35, 38.553, 90, 1346.25
0.4, 43.5825, 90, 1364.74
0.45, 48.6621, 90, 1382.89
0.5, 53.7738, 90, 1400.27
0.55, 58.9161, 90, 1417
0.6, 64.0628, 90, 1432.56
0.65, 69.214, 90, 1447.12
0.7, 74.4438, 90, 1462.38
0.75, 79.6842, 90, 1476.93
0.8, 84.9534, 90, 1491.18
0.85, 90.26, 90, 1505.34
0.9, 95.5441, 90, 1518.42
0.95, 100.87, 90, 1531.55
1, 106.184, 90, 1543.91
1.05, 111.546, 90, 1556.44
1.1, 116.894, 90, 1568.27
1.15, 122.289, 90, 1580.29
1.2, 127.677, 90, 1591.75
1.25, 133.044, 90, 1602.56
1.3, 138.454, 90, 1613.53
1.35, 143.874, 90, 1624.26
1.4, 149.335, 90, 1635.11
1.45, 154.776, 90, 1645.4
1.5, 160.248, 90, 1655.74
1.55, 165.717, 90, 1665.75
1.6, 171.222, 90, 1675.85
1.65, 176.712, 90, 1685.55
1.7, 182.225, 90, 1695.2
1.75, 187.742, 90, 1704.67
1.8, 193.302, 90, 1714.3
1.85, 198.824, 90, 1723.36
1.9, 204.391, 90, 1732.6
1.95, 209.947, 90, 1741.56
2, 215.478, 90, 1750.11
2.05, 221.084, 90, 1759.09
2.1, 226.675, 90, 1767.78
2.15, 232.284, 90, 1776.42
2.2, 237.866, 90, 1784.7
2.25, 243.492, 90, 1793.15
2.3, 249.08, 90, 1801.16
2.35, 254.708, 90, 1809.32
2.4, 260.36, 90, 1817.51
2.45, 265.975, 90, 1825.29
2.5, 271.631, 90, 1833.22
2.55, 277.253, 90, 1840.8
2.6, 282.901, 90, 1848.42
2.65, 288.564, 90, 1856.01
2.7, 294.23, 90, 1863.52
2.75, 299.923, 90, 1871.07
2.8, 305.616, 90, 1878.51
2.85, 311.334, 90, 1886
2.9, 317.034, 90, 1893.27
2.95, 322.747, 90, 1900.51
3, 328.488, 90, 1907.82
3.05, 334.212, 90, 1914.93
3.1, 339.928, 90, 1921.9
3.15, 345.6, 90, 1928.53
3.2, 351.347, 90, 1935.48
3.25, 357.067, 90, 1942.21
3.3, 362.795, 90, 1948.88
3.35, 368.555, 90, 1955.65
3.4, 374.341, 90, 1962.48
3.45, 380.116, 90, 1969.17
3.5, 385.912, 90, 1975.88
3.55, 391.654, 90, 1982.23
3.6, 397.415, 90, 1988.62
3.65, 403.214, 90, 1995.12
3.7, 409.019, 90, 2001.58
3.75, 414.828, 90, 2007.98
3.8, 420.582, 90, 2014.05
3.85, 426.327, 90, 2020.01
3.9, 432.116, 90, 2026.12
3.95, 437.919, 90, 2032.23
4, 443.687, 90, 2038.12
4.05, 449.503, 90, 2044.16
4.1, 455.35, 90, 2050.29
4.15, 461.221, 90, 2056.46
4.2, 467.041, 90, 2062.35
4.25, 472.832, 90, 2068.05
4.3, 478.632, 90, 2073.73
4.35, 484.507, 90, 2079.69
4.4, 490.281, 90, 2085.16
4.45, 496.147, 90, 2090.97
4.5, 502.024, 90, 2096.77
4.55, 507.858, 90, 2102.34
4.6, 513.714, 90, 2107.96
4.65, 519.536, 90, 2113.38
4.7, 525.337, 90, 2118.67
4.75, 531.194, 90, 2124.15
4.8, 537.045, 90, 2129.55
4.85, 542.918, 90, 2134.99
4.9, 548.773, 90, 2140.32
4.95, 554.677, 90, 2145.8
5, 560.493, 90, 2150.89
5.05, 566.34, 90, 2156.06
5.1, 572.19, 90, 2161.2
5.15, 578.092, 90, 2166.49
5.2, 583.932, 90, 2171.52
5.25, 589.757, 90, 2176.44
5.3, 595.606, 90, 2181.42
5.35, 601.488, 90, 2186.49
5.4, 607.355, 90, 2191.45
5.45, 613.201, 90, 2196.31
5.5, 619.051, 90, 2201.14
5.55, 624.968, 90, 2206.19
5.6, 630.883, 90, 2211.18
5.65, 636.76, 90, 2216.01
5.7, 642.672, 90, 2220.92
5.75, 648.545, 90, 2225.67
5.8, 654.448, 90, 2230.48
5.85, 660.304, 90, 2235.1
5.9, 666.189, 90, 2239.79
5.95, 672.137, 90, 2244.66
6, 678.036, 90, 2249.33
6.05, 683.994, 90, 2254.17
6.1, 689.934, 90, 2258.91
6.15, 695.769, 90, 2263.28
6.2, 701.639, 90, 2267.74
6.25, 707.586, 90, 2272.42
6.3, 713.523, 90, 2277.03
6.35, 719.451, 90, 2281.59
6.4, 725.328, 90, 2285.96
6.45, 731.196, 90, 2290.27
6.5, 737.06, 90, 2294.54
6.55, 742.965, 90, 2298.91
6.6, 748.861, 90, 2303.23
6.65, 754.766, 90, 2307.55
6.7, 760.647, 90, 2311.78
6.75, 766.505, 90, 2315.91
6.8, 772.43, 90, 2320.21
6.85, 778.375, 90, 2324.55
6.9, 784.219, 90, 2328.57
6.95, 790.175, 90, 2332.89
7, 796.09, 90, 2337.07
7.05, 801.954, 90, 2341.07
7.1, 807.901, 90, 2345.3
7.15, 813.804, 90, 2349.37
7.2, 819.75, 90, 2353.54
7.25, 825.711, 90, 2357.74
7.3, 831.59, 90, 2361.68
7.35, 837.492, 90, 2365.66
7.4, 843.453, 90, 2369.78
7.45, 849.315, 90, 2373.61
7.5, 855.182, 90, 2377.43
7.55, 861.063, 90, 2381.27
7.6, 866.994, 90, 2385.23
7.65, 872.856, 90, 2388.98
7.7, 878.779, 90, 2392.87
7.75, 884.709, 90, 2396.76
7.8, 890.73, 90, 2400.88
7.85, 896.633, 90, 2404.67
7.9, 902.546, 90, 2408.45
7.95, 908.503, 90, 2412.34
8, 914.367, 90, 2415.97
8.05, 920.311, 90, 2419.78
8.1, 926.224, 90, 2423.5
8.15, 932.112, 90, 2427.13
8.2, 938.01, 90, 2430.77
8.25, 943.868, 90, 2434.29
8.3, 949.776, 90, 2437.92
8.35, 955.745, 90, 2441.69
8.4, 961.676, 90, 2445.34
8.45, 967.641, 90, 2449.07
8.5, 973.535, 90, 2452.6
8.55, 979.426, 90, 2456.1
8.6, 985.328, 90, 2459.62
8.65, 991.25, 90, 2463.17
8.7, 997.178, 90, 2466.72
8.75, 1003.08, 90, 2470.19
8.8, 1009.05, 90, 2473.8
8.85, 1014.91, 90, 2477.15
8.9, 1020.8, 90, 2480.53
8.95, 1026.75, 90, 2484.05
9, 1032.6, 90, 2487.33
9.05, 1038.66, 90, 2491.08
9.1, 1044.61, 90, 2494.57
9.15, 1050.53, 90, 2497.96
9.2, 1056.5, 90, 2501.45
9.25, 1062.36, 90, 2504.67
9.3, 1068.34, 90, 2508.14
9.35, 1074.2, 90, 2511.35
9.4, 1080.08, 90, 2514.58
9.45, 1086.04, 90, 2517.98
9.5, 1091.92, 90, 2521.17
9.55, 1097.78, 90, 2524.31
9.6, 1103.73, 90, 2527.65
9.65, 1109.55, 90, 2530.67
9.7, 1115.43, 90, 2533.81
9.75, 1121.28, 90, 2536.89
9.8, 1127.14, 90, 2539.97
9.85, 1133.09, 90, 2543.24
9.9, 1138.96, 90, 2546.29
9.95, 1144.9, 90, 2549.53
10, 1150.76, 90, 2552.55
10.05, 1156.7, 90, 2555.74
