time,Position,Velocity,Altitude
0, 4.5, 1043.9, 90
0.05, 8.88695, 1030.85, 89.9944
0.1, 13.2782, 1025.89, 89.9826
0.15, 17.4989, 1018.96, 89.9363
0.2, 21.8693, 1016.97, 89.9081
0.25, 25.8552, 1011.53, 89.7679
0.3, 30.0031, 1008.88, 89.6575
0.35, 34.1822, 1007.13, 89.5457
0.4, 38.7955, 1007.73, 89.601
0.45, 43.0955, 1007.12, 89.522
0.5, 47.3429, 1006.51, 89.4154
0.55, 51.5127, 1005.86, 89.268
0.6, 56.2108, 1006.27, 89.3875
0.65, 61.4661, 1007.38, 89.7983
0.7, 64.9252, 1006.21, 89.2495
0.75, 68.7649, 1005.6, 88.9117
0.8, 72.1981, 1004.77, 88.3564
0.85, 74.7661, 1003.48, 87.3338
0.9, 79.4268, 1003.66, 87.4973
0.95, 82.7029, 1003.09, 86.8883
1, 87.6573, 1003.36, 87.2255
1.05, 90.5435, 1002.81, 86.4168
1.1, 95.5515, 1003.04, 86.7913
1.15, 98.071, 1002.53, 85.8108
1.2, 102.415, 1002.54, 85.8391
1.25, 110.057, 1003.25, 87.6056
1.3, 115.016, 1003.35, 87.9055
1.35, 120.197, 1003.47, 88.307
1.4, 121.733, 1003.11, 86.8581
1.45, 127.952, 1003.32, 87.7915
1.5, 131.445, 1003.24, 87.3526
1.55, 137.175, 1003.35, 88.0099
1.6, 138.542, 1003.14, 86.5711
1.65, 144.466, 1003.24, 87.3177
1.7, 148.403, 1003.22, 87.1203
1.75, 153.248, 1003.24, 87.3421
1.8, 151.539, 1003.03, 84.6307
1.85, 159.929, 1003.16, 86.4658
1.9, 160.912, 1003.09, 85.0187
1.95, 165.798, 1003.1, 85.2903
2, 179.275, 1003.23, 89.1665
2.05, 176.708, 1003.2, 86.2709
2.1, 180.575, 1003.2, 86.0888
2.15, 182.029, 1003.2, 84.9433
2.2, 191.925, 1003.19, 87.184
2.25, 192.615, 1003.22, 85.7541
2.3, 205.742, 1003.14, 89.1574
2.35, 209.529, 1003.15, 88.9038
2.4, 208.785, 1003.24, 86.9683
2.45, 220.756, 1003.1, 89.781
2.5, 222.805, 1003.16, 88.8958
2.55, 236.217, 1002.94, 92.1111
2.6, 243.84, 1002.86, 93.1752
2.65, 248.988, 1002.84, 93.3453
2.7, 255.094, 1002.8, 93.8397
2.75, 255.593, 1002.94, 92.4156
2.8, 257.506, 1003.03, 91.5045
2.85, 254.782, 1003.29, 89.0715
2.9, 258.542, 1003.31, 88.8418
2.95, 261.391, 1003.37, 88.3202
3, 258.402, 1003.63, 85.9176
3.05, 261.344, 1003.68, 85.4809
3.1, 267.83, 1003.6, 86.1875
3.15, 285.175, 1003.1, 90.3034
3.2, 285.161, 1003.3, 88.8984
3.25, 293.311, 1003.14, 90.0399
3.3, 300.554, 1003.02, 90.8748
3.35, 301.291, 1003.2, 89.7275
3.4, 297.864, 1003.56, 87.3576
3.45, 298.621, 1003.72, 86.28
3.5, 296.657, 1004.01, 84.4179
3.55, 306.868, 1003.74, 86.1876
3.6, 313.615, 1003.63, 86.8984
3.65, 313.333, 1003.85, 85.5624
3.7, 313.801, 1004.04, 84.467
3.75, 314.038, 1004.23, 83.3269
3.8, 325.338, 1003.89, 85.3578
3.85, 339.213, 1003.41, 88.0561
